,name,latitude,longitude,bikes_available
367,Weston Lions Park,43.698841,-79.519472,9
368,Annette St / Jane St,43.658574,-79.487246,6
369,Jameson Ave / Queen St W,43.63985,-79.43703,18
370,Carlaw Ave / Dundas St E,43.665076,-79.341509,7
371,Toronto Inukshuk Park,43.6323994,-79.40978179999999,44
372,Cosburn Ave / Durant Ave,43.6935477,-79.3301658,6
373,Swansea Community Centre,43.6438036,-79.4770327,5
374,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,4
375,Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,14
376,The Queensway / High St,43.630874,-79.482407,16
377,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,6
378,Front St E / Bayview Avenue,43.6535,-79.354068,8
379,Oak St / Sumach St,43.6617908,-79.361515,12
380,The Esplanade / Hahn Pl,43.649709,-79.364184,7
381,439 Sherbourne St,43.666051,-79.374161,22
382,Glebe Rd W / Yonge St,43.7005976,-79.397345,0
383,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,6
384,Alvin Ave / St Clair Ave E,43.68871,-79.39264,0
385,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,5
386,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,18
387,Sentinel Rd / Finch Hydro Corridor,43.7641485,-79.5012809,11
388,Finch West Subway Station,43.76521,-79.491281,0
389,Dufferin St / Finch Hydro Recreational Trail,43.7724019,-79.4675395,0
390,G Ross Lord Park,43.7781116,-79.467963,0
391,Elwood Blvd / Avenue Rd,43.707049,-79.40966,2
392,Roehampton St / Bayview Ave,43.711751,-79.378615,1
393,Teddington Park Ave,43.732975,-79.40401,1
394,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,12
395,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,7
396,O'Connor Dr / Curity Ave - Smart,43.707582,-79.311439,5
397,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,18
398,Queen St W / John St,43.650077,-79.391291,6
399,Fairmount Park,43.6765897,-79.3163022,13
400,Richmond St W / York St,43.650745,-79.383633,0
401,Sunnybrook Park,43.720233,-79.362092,6
402,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,0
403,Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,0
404,Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,0
405,Marie Curtis Park,43.5880774,-79.5432067,17
406,Guildwood GO Station (South),43.754978,-79.1971289,4
407,Chorley Park - SMART,43.6856,-79.3718,0
408,Cherry Beach,43.637764,-79.345359,0
409,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,7
410,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,4
411,Rouge Hill GO Station,43.7805505,-79.1301203,9
412,Colonel Danforth Park,43.7777114,-79.1659711,4
413,Morningside Park (Highland Creek Trail),43.779353,-79.193023,6
414,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,4
415,Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,0
416,Twelfth St / Thirteenth St,43.6002896,-79.5108692,20
417,Florence Gell Park,43.6615467,-79.498398,13
418,Wallace Ave / Pauline Ave,43.6632257,-79.4397052,8
419,Kingston Rd / Beech Ave,43.680095,-79.291714,5
